".id","dates","totals","doi"
"citeulike",2012-09-12,0,"10.1371/journal.pone.0042446"
"citeulike",2012-09-19,0,"10.1371/journal.pone.0042446"
"citeulike",2012-09-26,0,"10.1371/journal.pone.0042446"
"citeulike",2012-10-04,0,"10.1371/journal.pone.0042446"
"citeulike",2012-10-11,0,"10.1371/journal.pone.0042446"
"citeulike",2012-10-19,0,"10.1371/journal.pone.0042446"
"citeulike",2012-10-26,0,"10.1371/journal.pone.0042446"
"citeulike",2012-11-02,0,"10.1371/journal.pone.0042446"
"crossref",2012-09-12,0,"10.1371/journal.pone.0042446"
"crossref",2012-09-19,0,"10.1371/journal.pone.0042446"
"crossref",2012-09-26,0,"10.1371/journal.pone.0042446"
"crossref",2012-10-03,0,"10.1371/journal.pone.0042446"
"crossref",2012-10-11,0,"10.1371/journal.pone.0042446"
"crossref",2012-10-18,0,"10.1371/journal.pone.0042446"
"crossref",2012-10-26,0,"10.1371/journal.pone.0042446"
"crossref",2012-11-03,0,"10.1371/journal.pone.0042446"
"pubmed",2012-09-12,0,"10.1371/journal.pone.0042446"
"pubmed",2012-09-19,0,"10.1371/journal.pone.0042446"
"pubmed",2012-09-26,0,"10.1371/journal.pone.0042446"
"pubmed",2012-10-04,0,"10.1371/journal.pone.0042446"
"pubmed",2012-10-11,0,"10.1371/journal.pone.0042446"
"pubmed",2012-10-19,0,"10.1371/journal.pone.0042446"
"pubmed",2012-10-26,0,"10.1371/journal.pone.0042446"
"pubmed",2012-11-02,0,"10.1371/journal.pone.0042446"
"scopus",2012-09-12,0,"10.1371/journal.pone.0042446"
"scopus",2012-09-19,0,"10.1371/journal.pone.0042446"
"scopus",2012-09-26,0,"10.1371/journal.pone.0042446"
"scopus",2012-10-03,0,"10.1371/journal.pone.0042446"
"scopus",2012-10-11,0,"10.1371/journal.pone.0042446"
"scopus",2012-10-18,0,"10.1371/journal.pone.0042446"
"scopus",2012-10-26,0,"10.1371/journal.pone.0042446"
"scopus",2012-11-02,0,"10.1371/journal.pone.0042446"
"counter",2012-09-12,37,"10.1371/journal.pone.0042446"
"counter",2012-09-12,37,"10.1371/journal.pone.0042446"
"counter",2012-09-13,121,"10.1371/journal.pone.0042446"
"counter",2012-09-13,121,"10.1371/journal.pone.0042446"
"counter",2012-09-14,134,"10.1371/journal.pone.0042446"
"counter",2012-09-14,134,"10.1371/journal.pone.0042446"
"counter",2012-09-15,140,"10.1371/journal.pone.0042446"
"counter",2012-09-15,140,"10.1371/journal.pone.0042446"
"counter",2012-09-16,144,"10.1371/journal.pone.0042446"
"counter",2012-09-16,144,"10.1371/journal.pone.0042446"
"counter",2012-09-17,149,"10.1371/journal.pone.0042446"
"counter",2012-09-17,149,"10.1371/journal.pone.0042446"
"counter",2012-09-18,154,"10.1371/journal.pone.0042446"
"counter",2012-09-18,154,"10.1371/journal.pone.0042446"
"counter",2012-09-19,178,"10.1371/journal.pone.0042446"
"counter",2012-09-19,178,"10.1371/journal.pone.0042446"
"counter",2012-09-20,187,"10.1371/journal.pone.0042446"
"counter",2012-09-20,187,"10.1371/journal.pone.0042446"
"counter",2012-09-21,207,"10.1371/journal.pone.0042446"
"counter",2012-09-21,207,"10.1371/journal.pone.0042446"
